target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
N05CM02,183,4611,93.33,87.53,71.26,98.4,69.1,67.21,71.28,-18.42,-29.62,-2.55,0.046,1.27,1.04,1.43
N06AA09,451,1495,96.67,76.06,68.76,83.46,85.29,80.5,88.49,9.23,1.4,17.89,0.022,0.89,0.79,0.98
N06AB04,220,1470,100,80.72,73.9,87.48,88.28,85.64,90.68,7.55,0.54,14.39,0.038,0.91,0.84,0.99
N06AB06,204,1496,96.67,85.05,75.14,92.63,88.37,85.62,90.68,3.32,-5.2,12.66,0.468,0.96,0.86,1.06
N06AB10,915,1281,100,74.66,70.69,78.41,87.44,83.68,90.45,12.78,7.77,17.47,<0.001,0.85,0.8,0.91
N06AX03,663,1452,100,64.53,58.89,69.47,86.65,83.21,89.54,22.12,16.08,28.18,<0.001,0.74,0.68,0.81
N06AX11,772,1407,100,75.57,69.42,80.58,87.47,84.27,90.04,11.9,5.68,19.02,<0.001,0.86,0.79,0.93
N06AX16,217,1485,93.33,66.5,52.56,80.19,88.27,85.52,90.81,21.77,9.01,36.17,0.006,0.75,0.59,0.9
N06DA02,277,3720,93.33,86.45,78.46,93.6,63.53,61.25,65.6,-22.91,-31,-14.6,0.002,1.36,1.23,1.5
N06DA03,1063,3536,100,83.46,78.62,88.68,63.21,61.38,65.86,-20.25,-25.15,-14.53,0.002,1.32,1.23,1.4
N06DX01,170,3788,86.67,99.94,98.68,100,63.67,61.45,65.86,-36.26,-38.47,-33.93,0.002,1.57,1.52,1.63
N07BB04,142,20,63.33,54.24,0,96.96,37.03,0,100,-17.21,-61.71,100,0.956,1.46,0,62.61
P01AB01,591,124,80,50.12,44.42,55.52,27.24,7.52,69.47,-22.89,-42.09,18.02,0.154,1.84,0.73,6.84
P01BB51,102,574,66.67,9.89,2.55,20.19,48.35,42.24,53.82,38.46,27.07,47.43,<0.001,0.2,0.05,0.43
R01AD09,584,203,100,46.8,41.03,52.16,46.86,36.54,56.63,0.06,-11.18,11.33,0.992,1,0.79,1.3
R01AD12,209,212,100,43.39,32.91,53.3,40.52,27.61,51.11,-2.87,-18.87,11.08,0.770,1.07,0.76,1.58
R01BA01,245,1095,100,48.12,38.05,57.71,51.89,47.16,56.33,3.77,-7.27,14.55,0.484,0.93,0.73,1.15
R03AC02,861,335,100,57.6,52.47,62.97,56.04,48.69,62.76,-1.57,-10.36,7,0.658,1.03,0.89,1.21
R03AK06,200,629,100,53.87,45.03,61.84,61.28,55.77,66.45,7.41,-2.5,16.56,0.148,0.88,0.74,1.04
R03AK07,200,638,100,49.42,40.21,59.42,62.1,56.23,66.76,12.68,1.88,20.94,0.026,0.8,0.66,0.97
R03BA05,101,1747,96.67,55.31,39.26,69.8,56.55,52.55,59.69,1.24,-13.53,16.98,0.862,0.98,0.7,1.24
