target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
B03AA01,152,6802,96.55,64.42,62.65,68.51,81.7,68.62,93.82,-17.28,-28.04,-3.11,0.034,1.27,1.05,1.43
B03AA07,601,6659,100,66.97,65.42,68.95,71.89,66.05,77.85,-4.91,-11.27,1.4,0.122,1.07,0.98,1.17
B03BA01,478,5221,96.55,66.5,64.33,69.85,68.15,59.32,75.66,-1.65,-8.24,7.34,0.912,1.02,0.89,1.12
B03BA02,392,2645,100,68.19,65.9,70,64.33,59.13,69.05,3.87,-0.95,8.89,0.142,0.94,0.87,1.01
B03BA03,958,4846,100,68.28,65.99,70.15,68.72,63.83,73.59,-0.44,-5.97,4.85,0.878,1.01,0.93,1.09
B03BB01,590,5050,100,68.39,66.46,70.55,70.86,65.73,76.25,-2.47,-7.86,2.9,0.434,1.04,0.96,1.12
C01AA05,126,10000,93.1,59.84,58.72,63.18,67.49,49.5,79.1,-7.64,-19,11.35,0.698,1.13,0.81,1.32
C01DA02,949,8928,100,61.68,60.2,63.15,61.88,57.07,66.64,-0.21,-4.9,4.44,0.962,1,0.93,1.08
C01DA14,266,9795,96.55,59.02,57.52,61.82,62.34,53.1,71.36,-3.32,-12.12,6.59,0.586,1.06,0.89,1.21
C03AA03,100,10000,100,63.69,59.29,64.4,60.38,45.51,72.99,3.32,-9.35,16.46,0.632,0.95,0.74,1.15
C03AB01,147,10000,93.1,63.46,59.94,64.31,53.79,44.05,61.48,9.67,0.63,17.7,0.046,0.85,0.72,0.99
C03CA01,1678,7141,100,57.21,55.84,59.28,63.28,60.43,66.69,-6.07,-9.62,-2.26,0.002,1.11,1.04,1.17
C03CA02,844,8287,100,59.43,58.69,61.63,70.8,65.93,76.11,-11.37,-16.23,-5.51,0.002,1.19,1.09,1.27
C03DA01,280,10000,100,61.8,58.99,63.4,83.31,71.96,89.64,-21.5,-28.49,-10.08,0.002,1.35,1.16,1.47
C05AA04,442,10000,100,63.16,61.81,64.29,61.44,54.03,67.51,1.72,-4.5,8.94,0.612,0.97,0.86,1.07
C05BA01,175,10000,93.1,62.21,60.07,63.81,65.28,56.45,77.72,-3.08,-15.73,6.09,0.440,1.05,0.9,1.26
C07AA05,267,9786,100,63.7,60.8,64.83,55.95,43.44,64.49,7.74,-1.23,19.48,0.104,0.88,0.68,1.02
C07AB02,968,6419,100,60.94,59.52,63.12,61.39,57.23,65.67,-0.44,-4.46,4.13,0.874,1.01,0.93,1.07
C07AB07,162,9877,96.55,60.16,58.32,63.34,64.93,53.44,80.17,-4.77,-18.97,7.54,0.352,1.08,0.88,1.32
C08CA01,468,9582,100,62.38,60.71,63.57,62.65,55.69,69.55,-0.27,-7.01,6.4,0.956,1,0.9,1.11
C08CA05,183,10000,100,62.73,59.93,63.8,67.89,58.39,79.54,-5.17,-17.35,4.22,0.214,1.08,0.93,1.28
C08CA13,144,10000,100,62.46,59.26,63.55,58.18,43.53,71.63,4.27,-9.66,17.24,0.618,0.93,0.72,1.16
C09AA02,188,10000,100,62.09,59.52,63.25,66.8,58.02,75.03,-4.7,-13.15,4.16,0.268,1.08,0.93,1.22
C09AA05,381,10000,100,61.47,59.03,63.01,58.37,50.69,68.18,3.1,-6.08,10.53,0.556,0.95,0.83,1.1
