target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
S01BC11,142,5098,93.1,94.5,55.08,100,60.02,57.38,63.08,-34.48,-41.64,6.34,0.076,1.57,0.9,1.72
S01CA01,1455,6185,100,61.17,57.66,64.99,61.56,59.08,63.26,0.39,-4.28,3.74,0.988,0.99,0.94,1.07
S01ED01,117,8489,96.55,66.84,48.63,83.91,61.24,59.64,62.89,-5.6,-23.2,12.24,0.516,1.09,0.8,1.38
S01ED51,169,8335,82.76,60.65,38.35,80.87,61.56,59.72,62.96,0.91,-19.33,22.32,0.976,0.99,0.63,1.31
S01EE01,164,8385,93.1,71.13,55.19,86.37,61.21,59.66,62.9,-9.93,-25.5,6.64,0.224,1.16,0.89,1.42
S01GX02,186,8784,100,68.91,55.64,80.85,62.5,60.96,63.94,-6.42,-18.87,7.32,0.344,1.1,0.88,1.3
S01XA20,1026,7481,100,64.4,58.94,69.58,61.47,59.81,63.19,-2.93,-8.23,2.48,0.250,1.05,0.96,1.14
S03CA01,119,8833,100,60.18,41.31,75.49,62.47,60.93,64.09,2.3,-12.43,21.84,0.744,0.96,0.66,1.2
S03CA04,445,8602,100,63.95,57.8,70.64,62.53,60.81,64.05,-1.41,-8.27,5.32,0.600,1.02,0.91,1.13
V08AA01,164,54,24.14,53.75,35.94,74.09,36.76,36.51,94.4,-16.99,-22.21,45.19,0.402,1.46,0.48,1.56
V08BA01,101,113,100,58.72,39.15,82.56,54.98,40.62,72.43,-3.73,-30.33,24.13,0.840,1.07,0.64,1.68
